"TagName","TagDef"
"Detection.Validation.MissingPostBuild.Testing","A Post Build test that could have detected the issue was missing"
"Detection.Validation.MissingPreProduction.Testing","A Pre Production test that could have detected the issue was missing"
"Detection.Validation.MissingProduction.Testing","A Production test that could have detected the issue was missing"
"Detection.Validation.MissingTestCoverage","A test that could have detected the issue was missing"
"Detection.Validation.MissingTestCoverage","A test that could have detected the issue was missing"
"Detection.Validation.UnitTest.Bug","A Unit test that could have detected the issue has a bug"
"Detection.Validation.UnitTest.Missing","A Unit test that could have detected the issue was missing"
"Detection.Validation.UnitTest.StandardsGap","A unit test that could have detected the issue has standards gap"
"Duplicate","This is used to indicate there is another incident that is responsible, so while we track this incident the tags are assigned to the other incident that is responsible"
"Load","Any issue caused by the service not being able to handle changes in load"
"Load.Config.Scaling","The outage was caused because the service to fetch the configuration could not handle the load and it failed causing the outage. "
"Load.DOS","An issue related to a condition where increased load results in a Denial of Service"
"Load.Inrush","An issue related to the sudden increase in load, but not sustained load"
"Load.Inrush.SingleCustomer","An issue related to the sudden increase in load caused by a single customer, but not sustained load"
"Load.LackOFCapacity","The service lacked capacity to handle load"
"Load.RetryImplemenation","The service did not have an adequate retry strategy or implementation for when client's retry requests against it"
"Load.Scaling","Related to increasing or decreasing capacity according to load"
"Load.Scaling.AutoscaleInsufficient","The service's current autoscaling practice or functionality is not sufficient to handle increasing load"
"Load.Scaling.NoAutoscale","The service does not automatically increase capacity when subject to increasing load"
"Load.Throttling","The service does not properly throttle incoming requests, or does not behave properly when being throttled"
"Load.Throttling.BucketPerOperation","All operations MUST expose a normalized resource cost."
"Load.Throttling.MissingDetection","The service lacked telemetry to know when it was throttling or being throttled"
"Load.Throttling.NoisyNeighbor","Excess load from one tenant negatively impacted another tenant despite having throttling"
"Load.Throttling.NonStandardApproach","Current throttling mechanism is not a token bucket based algorithm or is otherwise not developed using proven practices"
"Load.Throttling.NoOverride","All services MUST be able to override throttling behavior, to handle inrush (slowly dialing up overall capacity during recovery conditions), with specific capabilities for whitelisting/blacklisting operations and users/tenants/subscriptions/etc. via direct token replenishment or bypassing quota enforcement"
"Load.Throttling.NoSelectiveThrottling","Services need to be aware of upstream calling patterns, and whether successful user outcomes require a minimum sequence of operations.   "
"Load.Throttling.NoThrottling","The service does not have any throttling of incoming requests"
"Load.Throttling.PunitiveThrottling​","All services MUST be able to handle non-uniformity in their user facing throttling scopes, in an appropriately scalable and manageable fashion"
"Load.Throttling.ScopesNotAlignedWithBlastRadius​​","All services need to align throttling scopes against the throttling blast radius to minimize impact of noisy neighbors, even within an individual customer scope (e.g. a single misbehaved script cannot lock a customer out of management of an entire subscription). "
"Load.Throttling.TarPit","Services must NOT implement “tar pit” throttling approaches, where they delay response for a period of time in order to reduce the volume of incoming work (or hold processing the request until the throttling period has passed).  Instead, services must be prepared to immediately respond with the appropriate throttling codes (e.g. 429) on a transient or enduring basis (blacklisting).  "
"Load.Throttling.Throttled","The service was throttled, and did not handle it correctly"
"Load.Throttling.ThrottlingInsufficient","The service has throttling, but it is insufficient and there can be or was impact"
"Load.Throttling.WrongResponseCode","The service is not sending the correct response code when it is throttled or throttling clients"
"Performance","An issue that caused excess latency"
"Performance.Caching","An issue related to how the service caches, but not an architectural limitation."
"Performance.Config.Latency","A configuration issue contributed to increased latency"
"Performance.CPU","An issue related to CPU usage with the current code"
"Performance.Database","An issue related to Database usage with the current code"
"Performance.DiskIO","An issue related to DiskIO usage with the current code"
"Performance.Java","An issue related to Java usage with the current code"
"Performance.Memory","An issue related to Memory usage with the current code"
"Performance.Ports","An issue related to Ports usage with the current code"
"Performance.Threads","An issue related to Threads usage with the current code"
"Process","Any issue where a process existed and that process or the lack of a process was a contributing factor"
"Process.AccidentalDelete","A non-manual touch process was used to delete something, like a resource"
"Process.AzureDisasterRecoveryDrill","An issue related to an Azure Disaster Recovery Drill"
"Process.Communication","A communication ISSUE contributed to a non-optimal TTM or otherwise affected the ability to resolve the issue in a timeline manner"
"Process.CommunicationGap","A communication GAP contributed to a non-optimal TTM or otherwise affected the ability to resolve the issue in a timeline manner"
"Process.Deprecation","An issue related to the process followed during deprecation"
"Process.DRITraining","An issue related to the process used for Designated Responsible Individual (DRI) Training, the quality of the training, or the lack of training"
"Process.DRITraining.LackofTools","An issue related to the lack of tools that could have replaced the need for Designated Responsible Individual (DRI) Training, or an issue related to training on that tool"
"Process.EngDesign","An issue related to the process a team follows for engineering"
"Process.Gameday","An issue related to the process followed to prevent ""Game Day"" or  possibly ""High Priority Events"" from having impact"
"Process.KnowledgeGap","There was a knowledge gap that prevented successful execution of a process"
"Process.LeapYear","An issue related to the process used to detect, mitigate or prevent problems arising during leap years or leap seconds."
"Process.LongRecovery","An issue related to a process that resulted in a long recovery, or could have been further optimized"
"Process.Maintenance","An issue related to the process followed during Maintenance"
"Process.ManualRollover.Cert","An issue related to the process used to manually roll over a cert"
"Process.ManualRollover.Cert","An issue related to the process used to manually roll over a cert"
"Process.ManualTouch","There was a manual touch made during what should normally be a no touch process"
"Process.ManualTouch.AccidentalDelete","A manual touch was used to delete something, like a resource"
"Process.ManualTouch.Change","An issue related to a manual touch that changed something"
"Process.ManualTouch.Change","An issue related to a change in the way manual touches are made"
"Process.Migration","An issue related to the process followed for a migration of various types"
"Process.Migration.MissedStep","An issue related to a missing step in the process followed for a migration of various types"
"Process.MigrationNotCompleted","An issue related to migration not completed"
"Process.NoFly","An issue related to the process followed for, or the No Fly information itself"
"Process.NoGenevaAction","An issue related to no Geneva Action"
"Process.OpsTool","Used to note the use of an OpsTool.  Whether or not it is approved or not approved for Compliant Automated Touches is not considered"
"Process.Other","We don't need this.  Just ""Process"" works…and having ""Other breaks our model of having folks just suggest something."
"Process.Permissions","An issue related to the process used to add, remove, update or delete permissions "
"Process.Portal","An issue related to the process used to access and use the Azure Portal"
"Process.PostmortemLowQuality","The postmortem being analyzed is low quality as defined by the Postmortem Quality Review program"
"Process.PreMortem","Used to indicate where doing a premortem/Risk Threat Model could have helped"
"Process.ReleaseGate ","An issue related to the process followed by release gates"
"Process.SafeFly","An issue related to the process followed for, or the Safe Fly information itself"
"Process.SPC","An issue related to lack of a Safe Production Change"
"ToBeAnalyzed",""
"Authoring.Config.MissingValue","Missing expected value(s) or argument(s)"
